load,parallelization_strategy,frequency,request_type,energy
2.5,TP8,1400,MS,230.21925925925925
3.0,TP8,1400,MS,232.3200490797546
3.5,TP8,1400,MS,234.49035582822086
0.5,TP8,1600,MS,195.6329552238806
1.0,TP8,1600,MS,221.67115789473687
1.5,TP8,1600,MS,246.81161290322584
2.0,TP8,1600,MS,262.90430379746834
2.5,TP8,1600,MS,264.143900621118
3.0,TP8,1600,MS,272.5555337423313
3.5,TP8,1600,MS,275.2384596273292
0.5,TP8,1800,MS,212.5400902255639
1.0,TP8,1800,MS,238.04784
1.5,TP8,1800,MS,265.88316883116886
2.0,TP8,1800,MS,285.2126075949367
2.5,TP8,1800,MS,289.6139627329192
3.0,TP8,1800,MS,295.416981595092
3.5,TP8,1800,MS,300.0216149068323
0.5,TP8,1980,MS,215.05479699248122
1.0,TP8,1980,MS,241.55237086092717
1.5,TP8,1980,MS,273.85495424836597
2.0,TP8,1980,MS,291.5182051282051
2.5,TP8,1980,MS,294.0950559006211
3.0,TP8,1980,MS,303.59548466257667
3.5,TP8,1980,MS,305.835012345679
0.5,TP8,800,MM,149.97498412698414
1.0,TP8,800,MM,151.50285167464116
1.5,TP8,800,MM,152.76467289719625
2.0,TP8,800,MM,156.20642105263158
2.5,TP8,800,MM,157.75370434782607
3.0,TP8,800,MM,158.9939079497908
3.5,TP8,800,MM,159.86835146443514
0.5,TP8,1000,MM,164.12372413793102
1.0,TP8,1000,MM,164.5816907216495
1.5,TP8,1000,MM,166.95301010101008
2.0,TP8,1000,MM,169.74598095238096
2.5,TP8,1000,MM,170.39241121495328
3.0,TP8,1000,MM,174.26304587155963
3.5,TP8,1000,MM,172.5092
0.5,TP8,1200,MM,181.3034761904762
1.0,TP8,1200,MM,184.01388108108108
1.5,TP8,1200,MM,184.0216170212766
2.0,TP8,1200,MM,188.28707999999997
2.5,TP8,1200,MM,189.79770297029702
3.0,TP8,1200,MM,193.2096923076923
3.5,TP8,1200,MM,192.97348792270532
0.5,TP8,1400,MM,211.21899386503068
1.0,TP8,1400,MM,217.30466666666663
1.5,TP8,1400,MM,218.35065945945948
2.0,TP8,1400,MM,222.51290721649485
2.5,TP8,1400,MM,222.93721827411167
3.0,TP8,1400,MM,230.06555223880596
3.5,TP8,1400,MM,229.61864000000003
0.5,TP8,1600,MM,249.41321739130433
1.0,TP8,1600,MM,251.0878212290503
1.5,TP8,1600,MM,250.87226086956522
2.0,TP8,1600,MM,259.10131937172775
2.5,TP8,1600,MM,258.47589637305697
3.0,TP8,1600,MM,262.79828000000003
3.5,TP8,1600,MM,268.2197766497462
0.5,TP8,1800,MM,268.2866835443038
1.0,TP8,1800,MM,270.4423820224719
1.5,TP8,1800,MM,273.45771428571425
2.0,TP8,1800,MM,280.61068062827223
2.5,TP8,1800,MM,283.8262916666667
3.0,TP8,1800,MM,292.56224489795915
3.5,TP8,1800,MM,294.35571428571427
0.5,TP8,1980,MM,274.461786163522
1.0,TP8,1980,MM,275.25015730337077
1.5,TP8,1980,MM,280.0586961325967
2.0,TP8,1980,MM,286.95625263157893
2.5,TP8,1980,MM,288.5540833333333
3.0,TP8,1980,MM,294.0237969543147
3.5,TP8,1980,MM,298.33794818652854
0.5,TP8,800,ML,149.41250169491525
