load,parallelization_strategy,frequency,request_type,performance
4.5,TP8,1400,SM,0.0992549657821655
5.0,TP8,1400,SM,0.10322624206542969
5.5,TP8,1400,SM,0.10476958513259886
6.0,TP8,1400,SM,0.1319430589675902
6.5,TP8,1400,SM,0.14524673223495488
7.0,TP8,1400,SM,0.13663227558135982
0.5,TP8,1600,SM,0.07888857603073121
1.0,TP8,1600,SM,0.08090505599975588
1.5,TP8,1600,SM,0.08796822547912597
2.0,TP8,1600,SM,0.08836345672607422
2.5,TP8,1600,SM,0.08820121526718139
3.0,TP8,1600,SM,0.08847942590713499
3.5,TP8,1600,SM,0.08858789443969727
4.0,TP8,1600,SM,0.09368312835693358
4.5,TP8,1600,SM,0.09492562294006343
5.0,TP8,1600,SM,0.09536519050598144
5.5,TP8,1600,SM,0.09257363557815551
6.0,TP8,1600,SM,0.12969122409820544
6.5,TP8,1600,SM,0.1190167307853699
7.0,TP8,1600,SM,0.1357797312736511
0.5,TP8,1800,SM,0.07882169246673584
1.0,TP8,1800,SM,0.07461156845092774
1.5,TP8,1800,SM,0.08361320495605468
2.0,TP8,1800,SM,0.08266658782958984
2.5,TP8,1800,SM,0.08569693803787232
3.0,TP8,1800,SM,0.08784595012664795
3.5,TP8,1800,SM,0.10341937065124518
4.0,TP8,1800,SM,0.08926027297973632
4.5,TP8,1800,SM,0.08956974267959592
5.0,TP8,1800,SM,0.09071667671203612
5.5,TP8,1800,SM,0.10621127605438226
6.0,TP8,1800,SM,0.11774662494659408
6.5,TP8,1800,SM,0.1276265144348145
7.0,TP8,1800,SM,0.1265305423736572
0.5,TP8,1980,SM,0.07654091835021973
1.0,TP8,1980,SM,0.07977757453918458
1.5,TP8,1980,SM,0.07974820137023926
2.0,TP8,1980,SM,0.08148436546325684
2.5,TP8,1980,SM,0.0852568244934082
3.0,TP8,1980,SM,0.08732602357864379
3.5,TP8,1980,SM,0.08799850463867187
4.0,TP8,1980,SM,0.0894189453125
4.5,TP8,1980,SM,0.08851108789443969
5.0,TP8,1980,SM,0.08794761657714843
5.5,TP8,1980,SM,0.09105913877487178
6.0,TP8,1980,SM,0.1159457302093504
6.5,TP8,1980,SM,0.12682443857192993
7.0,TP8,1980,SM,0.13013027667999266
0.5,TP8,800,SL,0.1245373606681824
1.0,TP8,800,SL,0.13773412704467775
1.5,TP8,800,SL,0.15575349330902097
2.0,TP8,800,SL,0.15820665359497071
2.5,TP8,800,SL,0.16086967468261718
3.0,TP8,800,SL,0.1591755700111389
3.5,TP8,800,SL,0.16747921943664554
4.0,TP8,800,SL,0.1806744909286499
4.5,TP8,800,SL,0.18570421218872069
5.0,TP8,800,SL,0.22432027816772437
0.5,TP8,1000,SL,0.11479532241821289
1.0,TP8,1000,SL,0.11193962097167968
1.5,TP8,1000,SL,0.1267690277099609
2.0,TP8,1000,SL,0.15864500999450692
2.5,TP8,1000,SL,0.12974401235580443
3.0,TP8,1000,SL,0.13043671131134033
3.5,TP8,1000,SL,0.14928087234497073
4.0,TP8,1000,SL,0.13295330524444576
4.5,TP8,1000,SL,0.13714408397674557
5.0,TP8,1000,SL,0.15470228195190425
0.5,TP8,1200,SL,0.09739459514617921
1.0,TP8,1200,SL,0.09351582527160646
1.5,TP8,1200,SL,0.10381130218505859
2.0,TP8,1200,SL,0.10966014862060548
2.5,TP8,1200,SL,0.11200111627578735
3.0,TP8,1200,SL,0.10621143341064451
3.5,TP8,1200,SL,0.11324784278869629
4.0,TP8,1200,SL,0.1275387382507324
4.5,TP8,1200,SL,0.12207525968551629
5.0,TP8,1200,SL,0.1285532760620117
0.5,TP8,1400,SL,0.08716432332992553
1.0,TP8,1400,SL,0.08984484672546388
1.5,TP8,1400,SL,0.09617183208465571
2.0,TP8,1400,SL,0.08839139938354493
2.5,TP8,1400,SL,0.10326837062835693
3.0,TP8,1400,SL,0.11875486850738515
3.5,TP8,1400,SL,0.09823822975158691
4.0,TP8,1400,SL,0.10960765838623039
4.5,TP8,1400,SL,0.10455400466918942
5.0,TP8,1400,SL,0.11864120483398437
0.5,TP8,1600,SL,0.08206447839736938
1.0,TP8,1600,SL,0.07557005882263183
1.5,TP8,1600,SL,0.12141244411468491
2.0,TP8,1600,SL,0.09370260238647461
2.5,TP8,1600,SL,0.09325792074203491
3.0,TP8,1600,SL,0.09831494092941284
3.5,TP8,1600,SL,0.09855545043945313
4.0,TP8,1600,SL,0.10449175357818598
4.5,TP8,1600,SL,0.11018874645233154
5.0,TP8,1600,SL,0.11491234779357909
0.5,TP8,1800,SL,0.08393816947937012
1.0,TP8,1800,SL,0.07616415023803712
1.5,TP8,1800,SL,0.08268869400024413
2.0,TP8,1800,SL,0.08935337066650391
2.5,TP8,1800,SL,0.08899639368057251
3.0,TP8,1800,SL,0.09377410650253296
3.5,TP8,1800,SL,0.09170120239257813
4.0,TP8,1800,SL,0.10569985389709473
4.5,TP8,1800,SL,0.09908187866210931
5.0,TP8,1800,SL,0.09782914161682127
0.5,TP8,1980,SL,0.07722292184829713
1.0,TP8,1980,SL,0.12560071945190435
1.5,TP8,1980,SL,0.08521545886993408
2.0,TP8,1980,SL,0.0892263412475586
2.5,TP8,1980,SL,0.08448485851287842
3.0,TP8,1980,SL,0.08664678335189818
3.5,TP8,1980,SL,0.10741543769836433
4.0,TP8,1980,SL,0.1026340389251709
4.5,TP8,1980,SL,0.09044440984725939
5.0,TP8,1980,SL,0.10748879432678217
0.5,TP8,800,MS,0.25386318683624276
1.0,TP8,800,MS,0.26603097915649415
1.5,TP8,800,MS,0.27533473968505856
2.0,TP8,800,MS,0.3344851016998292
2.5,TP8,800,MS,0.3225624132156372
3.0,TP8,800,MS,0.3797164273262022
3.5,TP8,800,MS,0.4152793216705323
0.5,TP8,1000,MS,0.2077234816551209
1.0,TP8,1000,MS,0.18801112174987794
1.5,TP8,1000,MS,0.21653215408325194
2.0,TP8,1000,MS,0.23133411407470705
2.5,TP8,1000,MS,0.2528994297981262
3.0,TP8,1000,MS,0.2684367489814758
3.5,TP8,1000,MS,0.32500785827636725
0.5,TP8,1200,MS,0.17740685462951664
1.0,TP8,1200,MS,0.1648712635040283
1.5,TP8,1200,MS,0.18173000335693357
2.0,TP8,1200,MS,0.19238052368164066
2.5,TP8,1200,MS,0.20087105512619013
3.0,TP8,1200,MS,0.20357989311218258
3.5,TP8,1200,MS,0.23327989578247071
0.5,TP8,1400,MS,0.15388470411300662
1.0,TP8,1400,MS,0.15314760208129885
1.5,TP8,1400,MS,0.155507640838623
2.0,TP8,1400,MS,0.15938868522644045
2.5,TP8,1400,MS,0.17172119379043574
3.0,TP8,1400,MS,0.1728952264785766
3.5,TP8,1400,MS,0.18863972663879394
0.5,TP8,1600,MS,0.14135473489761355
1.0,TP8,1600,MS,0.1391495227813721
1.5,TP8,1600,MS,0.1445748996734619
2.0,TP8,1600,MS,0.14511256217956545
2.5,TP8,1600,MS,0.1720151329040527
3.0,TP8,1600,MS,0.1602637577056884
